City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hithadhoo,-0.6,73.0833,85.15,68,100,14.61,MV,1651351809
Waddān,29.1614,16.139,81.12,16,73,24.61,LY,1651351809
Bluff,-46.6,168.3333,63.81,64,100,11.83,NZ,1651351809
Dikson,73.5069,80.5464,17.49,94,100,19.01,RU,1651351809
New Norfolk,-42.7826,147.0587,58.5,67,100,4.0,AU,1651351809
Ushuaia,-54.8,-68.3,42.46,81,0,0.0,AR,1651351809
Touros,-5.1989,-35.4608,80.4,74,15,15.59,BR,1651351809
Manyana,-23.4,21.7167,64.36,39,1,8.97,BW,1651351809
Fjerritslev,57.0813,9.2664,46.26,62,98,3.09,DK,1651351809
Vaini,-21.2,-175.2,77.16,94,100,9.22,TO,1651351809
Torbay,47.6666,-52.7314,44.76,96,100,4.61,CA,1651351809
Qaanaaq,77.484,-69.3632,14.74,76,80,2.57,GL,1651351809
Healesville,-37.65,145.5167,56.52,83,97,1.01,AU,1651351809
Puerto Ayora,-0.7393,-90.3518,80.56,79,88,8.48,EC,1651351809
Huarmey,-10.0681,-78.1522,71.31,76,74,10.85,PE,1651351809
Ixtapa,20.7,-105.2,92.39,23,95,8.9,MX,1651351809
Adrar,20.5022,-10.0711,81.91,10,0,7.9,MR,1651351809
Atuona,-9.8,-139.0333,78.8,76,9,12.57,PF,1651351809
Mae Hong Son,19.3003,97.9685,70.48,95,95,1.23,TH,1651351809
Sovetskiy,61.3614,63.5842,32.02,65,95,9.64,RU,1651351809
Cidreira,-30.1811,-50.2056,65.91,71,100,11.68,BR,1651351809
Quatre Cocos,-20.2078,57.7625,77.11,80,44,10.25,MU,1651351809
Zhezkazgan,47.8043,67.7144,66.9,34,100,3.74,KZ,1651351809
Punta Arenas,-53.15,-70.9167,42.91,81,40,9.22,CL,1651351809
La Ronge,55.1001,-105.2842,41.25,70,75,9.22,CA,1651351809
Zhigansk,66.7697,123.3711,30.63,97,100,30.15,RU,1651351809
Cossato,45.5739,8.1817,58.37,68,100,3.87,IT,1651351809
Saint Anthony,45.0205,-93.218,54.09,89,100,16.11,US,1651351809
Wapi Pathum,15.8452,103.3768,79.32,80,100,7.61,TH,1651351809
Freetown,8.484,-13.2299,82.11,74,58,9.22,SL,1651351809
Bethel,41.3712,-73.414,65.8,33,0,9.22,US,1651351809
Half Moon Bay,37.4636,-122.4286,75.88,74,100,20.71,US,1651351809
Kaitangata,-46.2817,169.8464,53.55,77,99,4.14,NZ,1651351809
Coquimbo,-29.9533,-71.3436,58.73,77,0,10.36,CL,1651351809
Yellowknife,62.456,-114.3525,36.12,51,0,9.22,CA,1651351809
